source_id,source_url,handle,title,title_normalized,brand_slug,brand_name,category,sku,short_description,description,image_main,image_gallery,source_price_ref_cents,in_stock,units_per_case,cases_per_pallet,case_order_step,minimum_cases,net_weight_g,storage_type,country_of_origin,needs_manual,last_import
173,https://mondialfood.fr/produit/meloui-nature-bladi-5-pieces/,meloui-nature-bladi-5-pieces,Meloui Nature Bladi 5 pièces,meloui nature bladi 5 pièces,bladi,Bladi,Les indispensables,,"Découvrez le plaisir unique des Meloui Nature de la gamme Bladi ! Ces crêpes feuilletées prêtes en un clin d&rsquo;œil sont idéales pour accompagner un thé à la menthe ou être agrémentées de miel ou de pâte à tartiner. Faciles, fraîches et savoureuses, elles séduiront toute la famille.","Meloui nature : prêts en 3 minutes à la poêle, sans effort !
<p>Ne perdez plus de temps à préparer la pâte ou à étaler chaque couche ! Nos meloui nature, ces délicieuses crêpes feuilletées venues tout droit de la tradition, vous offrent un gain de temps précieux sans compromis sur le goût. Préparés avec des ingrédients frais et soigneusement élaborés, ils révèlent une texture légère et croustillante à chaque bouchée.</p>
Craquez pour nos crêpes feuilletées : un délice à savourer en famille ou en solo !
<p>Accompagnez-les d’un thé à la menthe pour un moment convivial ou proposez-les fièrement lors d’une invitation entre amis. Polyvalents et savoureux, les meloui s’adaptent à toutes vos envies, qu’il s’agisse d’un petit-déjeuner chaleureux ou d’une pause gourmande. Une solution pratique, fraîche et délicieuse, pour des instants de partage ou de plaisir en solo</p>",https://mondialfood.fr/wp-content/uploads/2025/01/57.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
174,https://mondialfood.fr/produit/el-msamen-nature-4-pieces/,el-msamen-nature-4-pieces,El M’samen Nature 4 pièces,el m’samen nature 4 pièces,bladi,Bladi,Pains &amp; Pâtisseries,,"Pas besoin de prendre l’avion pour savourer un délicieux M’samen de la gamme Bladi, il vous suffit de le commander ! Une véritable recette traditionnelle, légère et dorée à la perfection, qui est prête en quelques minutes pour combler vos envies gourmandes. Dégustez-les natures ou agrémentées de…","Découvrez la tradition marocaine, livrée directement chez vous !
<p>Oubliez les préparations longues et fastidieuses ! Nos M’samen sont conçus pour vous offrir toute la richesse de la tradition sans perte de temps. En quelques minutes à la poêle, vous obtenez des crêpes feuilletées parfaitement croustillantes et savoureuses, prêtes à être savourées à tout moment de la journée. Il vous suffit de passer commande et de vous faire livrer directement chez vous.</p>
Craquez pour nos M’samen Bladi : un régal à partager ou à déguster en solo !
<p>Que ce soit pour un petit-déjeuner gourmand, une pause sucrée ou un goûter entre amis, les M’samen Bladi sont le choix idéal. Servez-les avec un thé à la menthe ou laissez-vous tenter par un peu de miel pour une expérience encore plus savoureuse. Frais, légers et délicieusement parfumés, ces M’samen deviendront rapidement un incontournable de vos moments gourmands, parfaits pour tous vos instants de convivialité.</p>",https://mondialfood.fr/wp-content/uploads/2024/11/43.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
175,https://mondialfood.fr/produit/meloui-tomates-oignons/,meloui-tomates-oignons,Meloui Tomates / Oignons,meloui tomates / oignons,bladi,Bladi,Pains &amp; Pâtisseries,,"Nos meloui fourrés à la tomate et aux oignons sont le choix parfait pour un repas salé; rapide et délicieux. En quelques minutes à peine, vous les faites dorer des deux côtés pour obtenir une texture croustillante à l&rsquo;extérieur, tout en conservant une farce fondante et pleine de saveurs à…","Délicieux meloui fourrés à la tomate et aux oignons <p>Les meloui fourrés à la tomate et aux oignons sont un excellent choix pour un repas rapide et délicieux. Leur préparation ne prend que quelques minutes. Il suffit de les faire dorer des deux côtés pour obtenir une texture parfaitement croustillante à l’extérieur, tout en préservant une farce fondante et savoureuse à l’intérieur. Ce plat allie simplicité et gourmandise, offrant un repas léger, mais savoureux en un temps record. Ces meloui sont la solution idéale pour les journées où vous manquez de temps mais souhaitez savourer un repas maison de qualité.</p>
Des crêpes feuilletées pour une pause gourmande ou un repas léger
<p>Pratiques et rapides à préparer, ces meloui sont parfaits pour satisfaire vos envies de gourmandises sans effort. Que ce soit pour une pause gourmande ou un repas léger, ils se dégustent facilement à toute heure de la journée. Leur farce à la tomate et aux oignons est pleine de saveurs. Faciles à transporter et à manger, ces meloui conviennent à un repas sur le pouce ou à une petite envie de réconfort. Ils sont également une alternative idéale aux snacks traditionnels, offrant à la fois plaisir et nutrition en quelques minutes.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/64.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
176,https://mondialfood.fr/produit/mini-meloui-nature-6-pieces/,mini-meloui-nature-6-pieces,6 Mini Meloui Nature,6 mini meloui nature,bladi,Bladi,Pains &amp; Pâtisseries,,"Laissez-vous séduire par nos mini meloui nature, un délice croustillant à chaque bouchée. Leur taille idéale permet de les savourer en une seule fois, parfaite pour combler vos petites faims à tout moment de la journée. Leur pâte dorée et légère offre une texture croquante, simple et savoureuse.…","Des mini meloui nature pour combler vos petites faims
<p>Nos mini meloui nature sont le snack parfait pour satisfaire vos petites faims à tout moment de la journée. Leur taille idéale permet de les savourer en une seule bouchée, offrant une expérience de dégustation simple mais savoureuse. Leur pâte dorée et croquante vous garantit une texture légère et agréable, qui fond légèrement en bouche. Ces mini meloui sont parfaits pour une pause gourmande ou un repas rapide, vous apportant réconfort et plaisir en quelques minutes seulement. Que ce soit en snack ou en entrée, ils sont un délice à chaque bouchée.</p>
Agrémentez ces mini crêpes feuilletées à votre goût <p>Nos mini crêpes feuilletées nature ne se contentent pas d’être délicieuses seules. Vous pouvez les agrémenter selon vos envies, aussi bien en version sucrée qu’en version salée. Ajoutez des sauces, des épices, ou même des garnitures de légumes pour encore plus de saveurs. Leur pâte légère et croquante se marie parfaitement avec tous les accompagnements que vous choisissez. Que ce soit des touches sucrées comme du chocolat ou de la confiture, ou des options salées comme du fromage ou des herbes. Ces mini meloui s’adaptent à tous vos goûts, ajoutant une touche gourmande et personnalisable à vos repas ou à vos pauses snack. Une petite bouchée, un grand plaisir !</p>",https://mondialfood.fr/wp-content/uploads/2024/11/33.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
177,https://mondialfood.fr/produit/baghrirs-crepes-mille-trou-4-pieces/,baghrirs-crepes-mille-trou-4-pieces,Baghrirs / Crêpes Mille trou 4 pièces,baghrirs / crêpes mille trou 4 pièces,bladi,Bladi,Pains &amp; Pâtisseries,,"Découvrez nos savoureuses Baghrir – Crêpes Mille Trous, une douceur orientale parfaite pour vos pauses gourmandes. Moelleuses, légères et finement alvéolées, elles se dégustent idéalement au goûter, sublimées par un filet de miel, une touche de beurre ou une pincée d’amandes. Préparées avec soin,…","Baghrirs – Une pause gourmande pleine de légèreté
<p>Offrez-vous un moment de pur plaisir avec nos Baghrir, ces crêpes mille trous emblématiques de la tradition orientale. Légères et moelleuses, elles séduisent par leur texture unique et leur saveur délicate. Parfaites pour accompagner vos goûters, elles se marient idéalement avec un filet de miel, une noisette de beurre fondu ou quelques éclats d’amandes pour un résultat gourmand et réconfortant. Leur préparation soignée et leur authenticité en font une douceur incontournable pour régaler petits et grands à tout moment de la journée. Une véritable invitation au partage et à la convivialité !</p>
Nos délicieuses crêpes mille trous
<p><br />
Nos crêpes mille trous sont confectionnées avec des ingrédients de qualité, dans le respect des recettes traditionnelles. Chaque Baghrir est soigneusement préparé pour offrir un équilibre parfait entre goût et texture, alliant finesse et moelleux. Que vous les savouriez nature ou agrémentées d’accompagnements sucrés, elles vous transportent au cœur des saveurs authentiques de l’Orient. Idéales pour une pause gourmande en famille ou un moment de douceur en solo, ces crêpes délicates raviront tous les amateurs de plaisirs sucrés. Laissez-vous tenter par cette spécialité pleine de charme et de simplicité !</p>",https://mondialfood.fr/wp-content/uploads/2025/01/8-1.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
178,https://mondialfood.fr/produit/pain-matlouh-4-pieces/,pain-matlouh-4-pieces,Pain Matlouh / 4 pièces,pain matlouh / 4 pièces,bladi,Bladi,Les indispensables,,"Découvrez notre délicieux pain Matlouh, un pain oriental à base de semoule, idéal pour accompagner tous vos repas. Moelleux et légèrement doré, il séduit par sa texture aérienne et son goût authentique. Plus besoin de passer des heures en cuisine : savourez cette spécialité artisanale prête à…","Le pain matlouh : le secret des tables orientales
<p>Le pain matlouh est un véritable incontournable de la cuisine orientale, à base de semoule fine, il séduit par sa texture légère et sa croûte légèrement dorée. Ce pain artisanal est parfait pour accompagner vos repas, que ce soit avec un plat en sauce, une soupe chaude ou pour savourer avec un peu d’huile d’olive et de la pâte d&rsquo;olive. Sa mie aérée et tendre fond dans la bouche à chaque bouchée, offrant ainsi une expérience gustative unique. Appréciez la richesse des saveurs orientales en toute simplicité, sans effort de préparation.</p>
Le pain oriental à base de semoule prêt à l&#8217;emploi <p>Fini les heures passées en cuisine pour confectionner votre pain, ce pain oriental à base de semoule est prêt à être dégusté en un clin d&rsquo;œil. Il suffit de le réchauffer légèrement pour révéler toute sa saveur et sa texture incomparable. Confectionné avec soin et des ingrédients de qualité, il vous offre l’authenticité des pains traditionnels orientaux, sans le moindre compromis. Idéal pour un repas rapide et délicieux, ou pour compléter un repas festif, il s&rsquo;intègre parfaitement dans votre quotidien tout en vous faisant gagner du temps. Simple, rapide, mais toujours aussi savoureux !</p>",https://mondialfood.fr/wp-content/uploads/2025/01/59.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
179,https://mondialfood.fr/produit/pain-pitta-5-pieces/,pain-pitta-5-pieces,Pain Pitta 5 pièces,pain pitta 5 pièces,bladi,Bladi,Pains &amp; Pâtisseries,,"Craquez pour le pain Pitta, l’allié parfait pour des repas rapides et savoureux ! Garnissez-le de viandes marinées, de légumes frais et de sauces onctueuses pour créer des sandwichs irrésistibles ou utilisez-les comme accompagnement pour vos plats préférés. Chauffé en quelques minutes, il révèle…","Un pain savoureux pour accompagner vos repas <p>Le pain pitta est l’alternative parfaite pour des repas rapides et savoureux. Moelleux à l&rsquo;intérieur et légèrement croustillant à l&rsquo;extérieur, il s’adapte à toutes vos envies culinaires. Que ce soit pour un sandwich irrésistible, un accompagnement de vos plats orientaux préférés ou même un encas rapide, le pain pitta est un véritable allié gourmand. Sa saveur authentique et sa texture légère en font un choix idéal.</p>
Garnissez et personnalisez votre pain Pitta à volonté
<p>L&rsquo;un des grands atouts du pain pitta réside dans sa polyvalence. Garnissez-le de viandes marinées, de légumes frais ou de sauces onctueuses pour créer des sandwichs délicieux qui combleront toutes vos envies. Vous pouvez également l&rsquo;utiliser comme accompagnement pour vos plats de viande, de poisson ou même de soupes. Son goût neutre et sa texture moelleuse lui permettent de se marier à une grande variété d&rsquo;ingrédients. Il devient ainsi un ingrédient incontournable dans votre cuisine, permettant de réinventer vos repas en un rien de temps. Savourez la liberté de création avec le pain pitta.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/60.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
180,https://mondialfood.fr/produit/pain-kebab-10-pieces/,pain-kebab-10-pieces,Pain Kebab 10 pièces,pain kebab 10 pièces,bladi,Bladi,Pains &amp; Pâtisseries,,"Pourquoi aller au restaurant quand vous pouvez savourer un kebab encore meilleur chez vous ? Le pain kebab vous permet de préparer votre sandwich directement chez vous, en toute simplicité. Moelleux, souple et prêt à être garni de viandes juteuses, de légumes frais et de sauces savoureuses, le…","Savourez un kebab maison meilleur que celui du restaurant
<p>Avec le pain kebab, vous pouvez préparer un kebab sans sortir de chez vous. Ajoutez-y ce qui vous fait plaisir et vous obtiendrez un repas gourmand. Plus besoin de faire la queue pour savourer un kebab digne de ce nom ! Il est même meilleur qu&rsquo;au restaurant, avec une pâte moelleuse et des garnitures parfaitement équilibrées. Un repas rapide, délicieux et totalement personnalisé, prêt en quelques minutes.</p>
Votre sandwich personnalisé selon vos envies
<p>Le pain kebab vous permet de préparer un sandwich rapide et délicieux en un rien de temps. Moelleux et savoureux, il est parfait pour un repas express ou pour satisfaire toute la famille. Facile à garnir et prêt en quelques minutes, il transforme chaque bouchée en un vrai régal, encore plus savoureux que ceux du restaurant. Un choix simple, rapide et irrésistible pour un repas gourmand.</p>",https://mondialfood.fr/wp-content/uploads/2024/11/42.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
181,https://mondialfood.fr/produit/meloui-nature-15-pieces/,meloui-nature-15-pieces,Meloui Nature &#8211; 15 pièces,meloui nature &#8211; 15 pièces,bladi,Bladi,Pains &amp; Pâtisseries,,"Savourez la légèreté et la douceur des Meloui Nature Bladi en 15 pièces. Ces crêpes feuilletées se préparent en seulement 3 minutes à la poêle, sans effort, pour vous offrir une texture légère et croustillante. Parfaites pour accompagner un thé à la menthe, un café ou être garnies de miel ou de…","Les Meloui : Une délicieuse tradition <p>Les Meloui Nature Bladi en 15 pièces sont une véritable invitation à savourer la tradition à travers des crêpes feuilletées moelleuses et légères. Préparées en seulement 3 minutes à la poêle, elles offrent une texture croustillante et aérienne, parfaite pour accompagner votre thé à la menthe ou un café. Ces crêpes polyvalentes peuvent également être garnies de miel ou de pâte à tartiner pour une touche sucrée. Faciles à préparer et incroyablement savoureuses, elles raviront toute la famille à tout moment de la journée, que ce soit pour un petit-déjeuner ou une pause gourmande.</p>
Profitez du format familial de nos crêpes feuilletées
<p>Les crêpes feuilletées de la gamme Bladi sont idéales pour ceux qui cherchent un moment de gourmandise rapide et savoureux. En seulement 3 minutes à la poêle, vous obtenez des crêpes feuilletées légères et croustillantes qui s’adaptent à toutes vos envies. Que vous les serviez au petit-déjeuner, au goûter, ou lors d’un déjeuner léger, elles sont parfaites pour accompagner vos boissons ou être garnies de vos ingrédients préférés. Pratiques, fraîches et délicieuses, les Meloui Nature Bladi apportent une touche de plaisir à chaque instant de la journée, que ce soit en solo ou en famille.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/65.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
182,https://mondialfood.fr/produit/meloui-nature-25-pieces/,meloui-nature-25-pieces,Meloui Nature &#8211; 25 pièces,meloui nature &#8211; 25 pièces,bladi,Bladi,Les indispensables,,"Découvrez le format familial des Meloui Nature Bladi, parfait pour combler toutes vos envies gourmandes. Avec 25 crêpes feuilletées, profitez d’une texture à la fois légère et croustillante, prête en seulement 3 minutes à la poêle. Que ce soit pour accompagner un thé à la menthe, un café, ou être…","Savourez la douceur des meloui nature <p>Laissez-vous séduire par la douceur et la légèreté incomparables des crêpes feuilletées. Leur texture est à la fois aérienne et croustillante ; elles se préparent en un rien de temps pour satisfaire vos envies gourmandes. Parfaites pour accompagner un thé à la menthe, un café, ou encore pour être garnies de miel, de pâte à tartiner, ou de tout autre délice sucré, elles apporteront une touche de plaisir à vos moments de partage. Que ce soit pour un petit-déjeuner gourmand, une pause sucrée, ou un dessert improvisé, les Meloui Nature s&rsquo;invitent à votre table avec simplicité et authenticité.</p>
Des moments gourmands à partager avec ces crêpes feuilletées
<p>Les meloui nature sont idéales pour des brunchs, des pauses sucrées ou même des desserts improvisés. Pratiques et savoureuses, elles raviront vos proches grâce à leur goût authentique et leur préparation rapide. Avec leur format généreux, elles sont parfaites pour satisfaire toute la famille ou vos invités. Laissez-vous tenter par ces crêpes polyvalentes et offrez-vous un moment de plaisir partagé ! </p>",https://mondialfood.fr/wp-content/uploads/2025/01/66.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
