source_id,source_url,handle,title,title_normalized,brand_slug,brand_name,category,sku,short_description,description,image_main,image_gallery,source_price_ref_cents,in_stock,units_per_case,cases_per_pallet,case_order_step,minimum_cases,net_weight_g,storage_type,country_of_origin,needs_manual,last_import
157,https://mondialfood.fr/produit/fraises-surgelees-1-kg-greens/,fraises-surgelees-1-kg-greens,Fraises surgelées 1 kg Greens,fraises surgelées 1 kg greens,darta,Darta,Desserts &amp; Fruits,,"Savourez la fraîcheur des fraises Greens surgelées, cueillies à parfaite maturité et surgelées immédiatement pour préserver toute leur saveur naturelle. Ces fraises sont idéales pour vos desserts les plus gourmands, comme de magnifiques tartes aux fruits ou de belles coupes de fraises fraîches.…","Dégustez des fraises toute l&rsquo;année, sans attendre la saison <p>Profitez du plaisir des fraises, même hors saison, grâce aux fraises Greens surgelées. Récoltés à parfaite maturité, ces fraises conservent leur douceur naturelle et leur texture juteuse grâce à une surgélation rapide. Préparez-vous à savourer : des tartes aux fraises somptueusement gourmandes, des coupes fraîches et fruitées, ainsi que des mousses légères et délicates. Ajoutez une boule de glace vanille ou une généreuse cuillère de crème Chantilly pour une touche finale irrésistible !</p>
Un fruit rouge qui régale petits et grands
<p>Avec les fraises Greens surgelées, chaque dessert devient un chef-d&rsquo;œuvre gourmand. Riches en vitamines et en saveurs, elles sont parfaites pour égayer vos petits-déjeuners, vos goûters ou vos desserts raffinés. Saupoudrées de sucre, servies dans un yaourt nature ou transformées en un coulis frais, elles apportent une touche de gourmandise et de couleur à vos repas. Leur praticité vous permet de toujours avoir des fraises à portée de main, prêtes à être savourées. Offrez-vous un moment sucré, où fraîcheur et authenticité se rencontrent, avec ces fraises d’exception.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/Fraises-surgelees-1-kg-Greens.jpg,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
158,https://mondialfood.fr/produit/epinard-surgele-en-branches-greens/,epinard-surgele-en-branches-greens,Épinard Surgelé en Branches Greens,épinard surgelé en branches greens,darta,Darta,Légumes &amp; Accompagnements,,"Découvrez les épinards en branches surgelés de la marque Greens, l’allié parfait pour des repas sains et goûteux. Riches en fer, en vitamines et en antioxydants, les épinards sont un véritable atout pour votre santé, contribuant à une alimentation équilibrée et pleine d&rsquo;énergie. Leur texture…","Pourquoi choisir les épinards en branches surgelés Greens ?
<p>Les épinards surgelés sont sélectionnés avec soin pour garantir une qualité irréprochable. Surgelés rapidement après la récolte, ils conservent toutes leurs propriétés nutritives et leur goût frais et naturel. Leur format pratique vous permet de les intégrer facilement à vos recettes, qu’il s’agisse de gratins, de tartes ou d’accompagnements savoureux. Avec ces épinards, profitez d’un produit sain et prêt à l’emploi, idéal pour varier vos repas sans effort. Que vous les cuisiniez à la crème, en poêlée ou intégrés à des plats plus élaborés, ils se prêtent à toutes vos envies gourmandes.</p>
Des légumes riches en vitamines pour des repas sain et savoureux
<p>Les épinards sont une source naturelle de vitamines A, C et K, essentielles pour renforcer votre système immunitaire, favoriser une bonne vision et maintenir des os solides. En plus de leurs vitamines, ils sont riches en fer et en antioxydants, ce qui en fait un allié incontournable pour une alimentation équilibrée. Leur texture délicate et leur goût authentique s’intègrent facilement à vos recettes préférées, qu’il s’agisse de gratins, de quiches ou de poêlées. Avec les épinards en branche, combinez plaisir gustatif et bienfaits nutritionnels dans chaque assiette.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/63.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
159,https://mondialfood.fr/produit/petits-pois-et-carottes-greens-surgeles/,petits-pois-et-carottes-greens-surgeles,Petits Pois et Carottes Greens surgelés,petits pois et carottes greens surgelés,darta,Darta,Légumes &amp; Accompagnements,,"Découvrez le plaisir d’un duo savoureux et pratique avec les petits pois et les carottes Green surgelés. La douceur des carottes tendrement coupées se marie à la fraîcheur des petits pois croquants pour donner plus de goût à vos plats. Surgelés immédiatement après récolte, ces légumes conservent…","Un mélange 2-en-1 pour des plats sains et équilibrés
<p>Les petits pois et les carottes Green surgelés sont le choix idéal pour allier simplicité et équilibre dans vos repas. Ce mélange 2-en-1 réunit la douceur des carottes finement coupées et la fraîcheur des petits pois, pour un duo parfaitement harmonieux. Surgelés immédiatement après la récolte, ces légumes conservent toutes leurs valeurs nutritives et leur goût authentique. Faciles à intégrer à vos plats, ils permettent de cuisiner sainement sans effort. Que ce soit pour un accompagnement rapide ou une recette mijotée, ce mélange pratique et gourmand est un allié incontournable pour des repas équilibrés et savoureux.</p>
Petits pois et carottes surgelés, pour plus de fraîcheur dans vos assiettes
<p>Apportez de la fraîcheur et de la couleur à vos assiettes avec les petits pois et les carottes Green surgelés. Grâce à leur goût naturel et leur texture idéale, ces légumes complètent vos recettes, qu’il s’agisse de plats mijotés ou de garnitures légères. Pratiques et rapides à préparer, ils permettent de varier vos menus tout en gagnant du temps en cuisine. Offrez à vos repas une touche gourmande et équilibrée, tout en profitant d’un produit sain et de qualité.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/30.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
162,https://mondialfood.fr/produit/brocolis-greens-surgeles/,brocolis-greens-surgeles,Brocolis Greens Surgelés,brocolis greens surgelés,darta,Darta,Légumes &amp; Accompagnements,,"Brocolis : bienfaits nutritionnels incomparables Les brocolis sont une véritable mine de nutriments, riches en fibres, en vitamines C et K, ainsi qu’en antioxydants. Ils contribuent à renforcer le système immunitaire, à favoriser la digestion et à maintenir une bonne santé cardiovasculaire.…","Brocolis : bienfaits nutritionnels incomparables
<p>Les brocolis sont une véritable mine de nutriments, riches en fibres, en vitamines C et K, ainsi qu’en antioxydants. Ils contribuent à renforcer le système immunitaire, à favoriser la digestion et à maintenir une bonne santé cardiovasculaire. Intégrer les brocolis dans votre alimentation quotidienne, c’est choisir un légume polyvalent et bénéfique pour votre bien-être général. Les brocolis frais que nous vous proposons sont le parfait mélange de douceur et de croquant, une véritable explosion de saveurs. Ces légumes polyvalents ravissent aussi bien les petits que les grands, et apportent une touche saine et gourmande à toutes vos recettes. </p>
Des légumes qui mettent tout le monde d’accord <p>Avec leur saveur légèrement terreuse et leur texture croquante, les brocolis surgelés de Greens apportent une dimension gourmande à vos repas. Faciles à préparer, ils s’adaptent à de nombreuses méthodes de cuisson : vapeur, sauté, rôti au four ou encore intégré dans vos soupes et gratins préférés. Que ce soit en accompagnement de viandes, de poissons ou dans des plats végétariens, ils rehaussent le goût de vos recettes tout en conservant leur intégrité nutritionnelle.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/56.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
164,https://mondialfood.fr/produit/haricots-verts-fins-surgeles-greens/,haricots-verts-fins-surgeles-greens,Haricots Verts Fins Surgelés Greens,haricots verts fins surgelés greens,darta,Darta,Légumes &amp; Accompagnements,,"Commandez dès maintenant vos haricots verts fins surgelés et découvrez des légumes de qualité ! Récoltés à maturité et surgelés sans attendre, ils se distinguent par leur fraîcheur incomparable, leur texture croquante et leur douceur délicate. Faciles à préparer, ils apportent une touche saine à…","Savoureux haricots verts fins surgelés
<p>Les haricots verts fins surgelés de la marque Greens sont le choix idéal pour des repas savoureux et équilibrés. Récoltés jeunes et rapidement surgelés, ils conservent toute leur fraîcheur, leur croquant et leurs qualités nutritives. Pratiques et polyvalents, ils se préparent facilement à la casserole, au micro-ondes ou à la vapeur, pour accompagner viandes, poissons ou plats végétariens. Leur texture délicate et leur goût authentique font l’unanimité auprès de toute la famille. Optez pour ces haricots verts de qualité supérieure et apportez une touche saine et gourmande à vos recettes du quotidien. Sublimez vos plats en toute simplicité !</p>
<br />
Des légumes prêts en un clin d’œil
<p>Simplifiez vos repas avec les haricots verts fins de la marque Greens, soigneusement sélectionnés pour leur fraîcheur et leur tendreté. Déjà équeutés et prêts à l’emploi, ils sont un allié parfait pour gagner du temps en cuisine sans compromettre la qualité. Leur goût délicat et leur texture croquante en font un accompagnement idéal pour toutes vos viandes, poissons ou plats végétariens. Cuits à la vapeur, sautés à l’ail ou simplement blanchis, ils s’adaptent à toutes vos recettes. Disponibles en sachet pratique, ils conservent toutes leurs qualités nutritives. Optez pour une solution rapide et saine, tout en préservant la saveur authentique des légumes frais.</p>",https://mondialfood.fr/wp-content/uploads/2024/11/49.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
160,https://mondialfood.fr/produit/jeunes-carottes-extra-fines-greens-surgele/,jeunes-carottes-extra-fines-greens-surgele,Jeunes Carottes Extra Fines Greens Surgelé,jeunes carottes extra fines greens surgelé,darta,Darta,Légumes &amp; Accompagnements,,"Découvrez les jeunes carottes extra fines Green, l&rsquo;atout fraîcheur de vos assiettes ! Savourez de délicieuses petites carottes, au goût délicatement sucré. Surgelées juste après la récolte, elles préservent leur douceur naturelle et leur texture croquante. Idéales pour accompagner vos plats…","Les jeunes carottes extra fines : fraîcheur et qualité préservées
<p>Les jeunes carottes extra fines Green sont récoltées à maturité puis surgelées rapidement pour préserver leur fraîcheur et leurs qualités nutritives. Leur texture tendre et leur saveur douce en font un ingrédient de choix pour une multitude de recettes. Prêtes à l’emploi, elles apportent couleur et légèreté à vos plats, qu’il s’agisse d’accompagnements, de poêlées de légumes ou de soupes. Faciles à cuisiner, elles conservent leur goût authentique et naturel, même après congélation. Avec ces carottes extra fines, vous profiterez d’un produit sain et pratique au quotidien.</p>
Une touche gourmande et saine pour des plats savoureux
<p>Avec les carottes extra fines Green, manger sain devient simple et savoureux. Leur petite taille et leur texture délicate les rendent idéales pour des présentations soignées et appétissantes. Que ce soit en accompagnement d’une viande ou d’un poisson, sautées à la poêle avec des herbes ou légèrement glacées au beurre, elles se prêtent à toutes vos envies culinaires. Pratiques et rapides à préparer, elles simplifient votre quotidien tout en rehaussant vos recettes d’une note de douceur. Faites de chaque repas un moment gourmand avec ces carottes surgelées.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/24-1.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
161,https://mondialfood.fr/produit/oignons-eminces-green-surgeles/,oignons-eminces-green-surgeles,Oignons Émincés Green Surgelés,oignons émincés green surgelés,darta,Darta,Légumes &amp; Accompagnements,,"L’oignon, c’est la base de toutes les recettes réussies ! Les oignons émincés Green sont l’ingrédient parfait pour donner plus de goût à vos plats. L’option surgelée vous fait gagner un temps précieux. Prêts à l’emploi, ils ajoutent saveur à vos préparations, sans compromis sur la qualité. Ces…","Des oignons émincés pour des plats savoureux en un clin d&rsquo;œil
<p>Les oignons émincés surgelés Green sont la solution idéale pour les cuisiniers pressés. Prêts à l’emploi, ces oignons conservent toute leur fraîcheur grâce à un procédé de congélation rapide. Ils apportent une touche gourmande à vos recettes, qu’il s’agisse de sauces, de poêlées ou de soupes. Leur format pratique vous fait gagner un temps précieux en cuisine, sans compromis sur la qualité. Avec les oignons émincés Green, vous réalisez vos plats préférés en un rien de temps, tout en gardant des saveurs intenses.</p>
Une qualité irréprochable pour des recettes réussies
<p>Les oignons émincés Green se démarquent par leur qualité exceptionnelle. Grâce à une sélection rigoureuse et une coupe parfaite, ils s’intègrent harmonieusement dans toutes vos préparations. Leur fraîcheur est préservée par une congélation rapide, qui garantit également la conservation des nutriments. Polyvalents, ils se prêtent à une multitude d’utilisations : base pour vos mijotés, touche finale pour vos plats sautés ou ingrédient essentiel de vos marinades. Simplifiez votre quotidien en optant pour ces oignons savoureux et pratiques, indispensables à toutes les cuisines modernes.</p>",https://mondialfood.fr/wp-content/uploads/2024/11/51.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
163,https://mondialfood.fr/produit/163petits-pois-greens/,163petits-pois-greens,Petits Pois Extra Fins Greens Surgelés,petits pois extra fins greens surgelés,darta,Darta,Légumes &amp; Accompagnements,,"Apportez de la douceur à vos repas avec les petits pois extra fins de la marque Greens. Récoltés à maturité, soigneusement sélectionnés et surgelés sans attendre, ils conservent toute leur fraîcheur, leur tendreté et leurs bienfaits nutritifs. Ces petits légumes savoureux sont parfaits pour…","Des petits pois délicieusement tendres
<p>Les petits pois extra fins Greens se distinguent par leur texture fondante et leur saveur légèrement sucrée. Parfaits pour accompagner vos viandes, poissons ou plats végétariens, ils s’intègrent également dans une variété de recettes : veloutés, salades printanières, plats mijotés ou encore poêlées gourmandes. Grâce à leur récolte rapide et leur surgélation immédiate, ces petits pois gardent toute leur fraîcheur et leurs qualités nutritives, offrant ainsi un produit de haute qualité à votre table.</p>
Une solution pratique et saine pour savourer des légumes
<p>Disponibles en sachet pratique, ces petits pois sont prêts à être cuisinés en un clin d’œil. Que vous les prépariez à la vapeur ou à la casserole, leur préparation est simple et rapide, s’adaptant à votre emploi du temps chargé. Avec les petits pois extra fins Greens, optez pour une alimentation saine et équilibrée, tout en ajoutant une touche de couleur et de fraîcheur à vos assiettes.</p>",https://mondialfood.fr/wp-content/uploads/2025/01/31.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
230,https://mondialfood.fr/produit/onion-rings-greens-laperitif-a-partager/,onion-rings-greens-laperitif-a-partager,Onion Rings Greens : l&rsquo;Apéritif à partager,onion rings greens : l&rsquo;apéritif à partager,darta,Darta,Snacks &amp; Apéritifs,,"Les Onion Rings sont l’apéritif idéal pour ceux qui recherchent à la fois praticité et saveur à chaque bouchée. Ces anneaux d&rsquo;oignon croustillants et dorés sont enrobés d&rsquo;une pâte légère et savoureuse qui leur donne une texture parfaite, à la fois croquante à l’extérieur et fondante à…","Le snack pratique et savoureux pour tous les moments
<p>Les Onion Rings sont l’option idéale pour ceux qui recherchent un snack pratique et savoureux. Avec leur pâte légère et croustillante, ces anneaux d’oignon fondants à l’intérieur sont prêts en quelques minutes, ce qui en fait le choix parfait pour un encas rapide ou un accompagnement de repas. Faciles à préparer, ils sont parfaits pour satisfaire vos petites faims tout au long de la journée. </p>
Les Onion Rings : un apéritif irrésistible <p>Idéaux pour une soirée entre amis ou un repas en famille, les Onion Rings ajoutent une touche croquante et savoureuse à vos moments conviviaux. Leur texture parfaite et leur goût délicieux font d’eux un incontournable pour tous les amateurs de snacks gourmands. Grâce à leur rapidité de préparation et leur praticité, ils sont toujours prêts à satisfaire vos envies de croquant et de saveur.</p>",https://mondialfood.fr/wp-content/uploads/2024/11/52.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
166,https://mondialfood.fr/produit/poivrons-greens-surgeles-melange-de-poivrons/,poivrons-greens-surgeles-melange-de-poivrons,Poivrons Greens Surgelés : Mélange de Poivrons,poivrons greens surgelés : mélange de poivrons,darta,Darta,Légumes &amp; Accompagnements,,"Découvrez les poivrons surgelés de la marque Greens, un mélange de poivrons rouges, verts et jaunes déjà coupés en lanières. Parfaits pour gagner du temps en cuisine, ils s&rsquo;ajoutent à toutes vos recettes. Salades, omelettes, pizzas, wok&#8230; les possibilités sont infinies ! Commandez dès…","Un mélange de poivrons tricolores pour vos recettes
<p>Faites le plein de vitamines et d&rsquo;antioxydants avec notre mélange de poivrons tricolores. Ces légumes sont une source de fibres et de minéraux essentiels pour une bonne santé. Grâce à leur surgélation, ils conservent l&rsquo;intégralité de leurs nutriments. Un choix sain et délicieux pour toute la famille ! Gagnez du temps en cuisine grâce à nos poivrons déjà coupés en lanières. Les poivrons s’intègrent facilement à plusieurs recettes, qu’il s’agisse de plats sautés, de gratins, de sauces, ou même de salades. </p>
Repas en un clin d&rsquo;œil avec nos poivrons surgelés
<p>Grâce aux poivrons surgelés Greens, il n&rsquo;y a plus d&rsquo;excuse pour ne pas consommer de légumes ! Leur préparation déjà en lanières vous permet de les ajouter instantanément à vos plats, que ce soit pour un sauté de légumes rapide, un curry parfumé ou une omelette colorée. En quelques minutes, vous obtenez un repas savoureux, équilibré et plein de vitamines, sans la contrainte de la préparation des légumes frais. Nos poivrons surgelés sont une solution pratique pour intégrer des légumes dans votre alimentation quotidienne, même lors des journées les plus chargées. Alors, plus d&rsquo;excuses : mangez sainement, facilement et rapidement !</p>",https://mondialfood.fr/wp-content/uploads/2024/11/54.png,,100,1,,,,,,,,1,2026-07-20T09:57:58.572Z
